"Test","n","111","99","67"
"Cognitive Screen","","","",""
" CERAD Total","277","68.89 (12.95)","71.92 (11.25)","71.25 (10.24)"
" MMSE /30","277","28.24 (2.45)","28.72 (1.89)","28.75 (1.65)"
"Language","","","",""
" Semantic Fluency (Animals)","277","17.77 (4.77)","17.76 (4.64)","18.09 (4.67)"
" BNT-15 /15","277","11.79 (2.22)","12.46 (1.9)","12.42 (1.96)"
"Memory","","","",""
" Word List Learning /30","277","16.48 (4.19)","17.28 (4.27)","17.06 (3.32)"
" Word List Delayed Recall /10","277","5.9 (2.04)","6.51 (2.09)","6.22 (1.81)"
" Word List Recognition /10","277","9.41 (1.37)","9.34 (1.22)","9.47 (1.03)"
" MIS Free Recall /8","277","6.14 (1.94)","6.45 (1.71)","6.15 (2.24)"
" MIS Cued Recall /8","277","0.83 (0.7)","1.04 (0.74)","1.1 (0.72)"
" MCT List 1 Cued Recall","277","14.41 (2.22)","14.86 (1.99)","14.62 (1.97)"
" MCT List 2 Cued Recall","277","11.2 (3.58)","12.13 (3.38)","11.38 (3.71)"
" MCT List 1 Cued Recall 2","277","13.55 (2.79)","14.08 (2.6)","14.21 (2.18)"
" MCT List 2 Cued Recall 2","277","11.56 (3.47)","12.35 (3.26)","11.73 (3.64)"
" MCT Total Free Recall","277","18.45 (5.97)","18.89 (5.97)","18.56 (6.07)"
" CP Delayed Recall /11","277","7.54 (2.7)","8.3 (2.58)","8.58 (2.37)"
" RCFT Delayed Recall /16","277","14.49 (6.78)","15.08 (6.39)","15.64 (6.8)"
"Visuospatial","","","",""
" CP Copy /11","277","9.38 (1.57)","9.7 (1.51)","9.97 (1.28)"
" RCFT Copy /36","277","25.77 (7.49)","26.85 (6.47)","27.7 (6.34)"
" Raven's Progressive Matrices /12","277","8.45 (1.94)","8.75 (1.99)","8.98 (1.93)"
"Processing Speed","","","",""
" TMT-A (seconds)","277","84.21 (53.93)","65.93 (33.71)","66.57 (43.82)"
" WAIS-III Digit Symbol","277","42.74 (19.73)","43.94 (18.02)","44.63 (20.9)"
" A Cancelation Correct /16","277","14.4 (1.08)","14.67 (0.62)","14.53 (0.74)"
"Executive Functioning","","","",""
" Phonemic Fluency (FAS)","277","23.95 (14.62)","24.97 (11.69)","25.55 (13.09)"
" WAIS-III Arithmetic","277","7.12 (2.47)","8.43 (1.6)","7.8 (1.9)"
" WCST Total Correct","277","20.1 (7.91)","22.22 (8.2)","22.65 (7.68)"
" WCST Total Errors","277","27.85 (7.92)","25.74 (8.24)","25.35 (7.68)"
" WCST Total Categories /6","277","2.55 (1.32)","2.84 (1.48)","2.97 (1.45)"
" WCST Perseverations","277","20.38 (8.88)","18.24 (7.88)","18.23 (7.55)"
" WCST Failure Maintain Set","277","0.44 (0.67)","0.6 (1.16)","0.57 (0.72)"
