"","Education (years)",,,
"","","1–5 (n = 48)","6–11 (n = 210)","≥ 12 (n = 106)"
"Test","n","M (SD)","M (SD)","M (SD)"
"Cognitive Screen","","","",""
" CERAD Total","364","69.81 (13.2)","71.07 (11.82)","71.96 (11.75)"
" MMSE /30","364","28.37 (2.46)","28.74 (1.8)","28.71 (1.8)"
"Language","","","",""
" Semantic Fluency (Animals)","364","18.17 (4.9)","17.36 (4.81)","18.11 (4.96)"
" BNT-15 /15","364","12.06 (2.41)","12.3 (2.03)","12.73 (1.85)"
"Memory","","","",""
" Word List Learning /30","364","16.47 (4.18)","17 (3.97)","16.83 (4.13)"
" Word List Delayed Recall /10","364","6.15 (1.81)","6.23 (1.91)","6.27 (1.79)"
" Word List Recognition /10","364","9.19 (1.55)","9.39 (1.35)","9.49 (1.16)"
" MIS Free Recall /8","364","6.1 (2.34)","6.38 (1.8)","6.22 (1.91)"
" MIS Cued Recall /8","364","1.1 (0.77)","0.91 (0.73)","1.1 (0.73)"
" MCT List 1 Cued Recall","364","14.32 (2.13)","14.64 (2.01)","14.84 (1.62)"
" MCT List 2 Cued Recall","364","11.05 (3.28)","11.63 (3.6)","12.1 (3.28)"
" MCT List 1 Cued Recall 2","364","14.03 (2.51)","14.14 (2.52)","14.28 (1.95)"
" MCT List 2 Cued Recall 2","364","11.89 (3.42)","11.96 (3.56)","12.55 (3.08)"
" MCT Total Free Recall","364","19.16 (6.48)","18.94 (6.19)","19.91 (5.66)"
" CP Delayed Recall /11","364","8 (3.2)","8.43 (2.6)","8.42 (2.73)"
" RCFT Delayed Recall /16","364","14.56 (6.91)","15.71 (6.87)","15.83 (6.81)"
"Visuospatial","","","",""
" CP Copy /11","364","9.4 (1.95)","9.74 (1.54)","9.6 (1.65)"
" RCFT Copy /36","364","26.01 (7.84)","27.62 (5.9)","27.62 (6.27)"
" Raven's Progressive Matrices /12","364","8.64 (2.21)","8.72 (2.13)","8.81 (1.73)"
"Processing Speed","","","",""
" TMT-A (seconds)","364","69.67 (44.46)","68.32 (40.47)","69.52 (44.12)"
" WAIS-III Digit Symbol","364","42.63 (20.99)","45.96 (19.96)","47.1 (21.14)"
" A Cancelation Correct /16","364","14.86 (0.38)","14.41 (1.18)","14.47 (0.99)"
"Executive Functioning","","","",""
" Phonemic Fluency (FAS)","364","25.75 (13.2)","26.12 (11.54)","25.73 (11.83)"
"  WAIS-III Arithmetic","364","8.17 (2.79)","7.75 (1.92)","6.87 (3.11)"
" WCST Total Correct","364","19.58 (8.57)","20.51 (8.53)","22.16 (8.51)"
" WCST Total Errors","364","28.38 (8.61)","27.25 (8.73)","25.84 (8.51)"
" WCST Total Categories /6","364","2.42 (1.31)","2.52 (1.43)","2.9 (1.49)"
" WCST Perseverations","364","21.02 (8.84)","19.14 (8.5)","18.24 (7.76)"
" WCST Failure Maintain Set","364","0.53 (0.68)","0.62 (1.04)","0.45 (0.88)"
