"Test","n","17","24"
"Cognitive Screen","","",""
" CERAD Total","41","69.12 (11.22)","68.74 (11.87)"
" MMSE /30","41","28.41 (3.16)","28.33 (2.24)"
"Language","","",""
" Semantic Fluency (Animals)","41","17 (4.85)","16.79 (4.17)"
" BNT-15 /15","41","11.76 (2.31)","12 (1.89)"
"Memory","","",""
" Word List Learning /30","41","16.12 (3.6)","15.58 (3.62)"
" Word List Delayed Recall /10","41","5.29 (1.79)","5.46 (2.13)"
" Word List Recognition /10","41","9.35 (1.17)","9.37 (1.3)"
" MIS Free Recall /8","41","6.75 (1.44)","6.11 (2)"
" MIS Cued Recall /8","41","0.89 (0.33)","1.18 (0.87)"
" MCT List 1 Cued Recall","41","13.71 (2.92)","14.22 (2.29)"
" MCT List 2 Cued Recall","41","11.64 (3.08)","10.89 (4.19)"
" MCT List 1 Cued Recall 2","41","13.43 (2.77)","13.61 (3.11)"
" MCT List 2 Cued Recall 2","41","11.71 (3.29)","11.11 (4.01)"
" MCT Total Free Recall","41","18.29 (6.06)","16.67 (8.03)"
" CP Delayed Recall /11","41","7.24 (2.41)","6.92 (3.36)"
" RCFT Delayed Recall /16","41","13.65 (6.74)","11.54 (7.12)"
"Visuospatial","","",""
" CP Copy /11","41","9.59 (1.42)","9.29 (1.78)"
" RCFT Copy /36","41","26.76 (4.18)","24.73 (6.67)"
" Raven's Progressive Matrices /12","41","8.06 (2.11)","7.71 (2.26)"
"Processing Speed","","",""
" TMT-A (seconds)","41","83.31 (44.68)","85.46 (54.81)"
"  WAIS-III Digit Symbol","41","41.56 (19.9)","41.76 (21.76)"
" A Cancelation Correct /16","41","-","13.83 (1.94)"
"Executive Functioning","","",""
" Phonemic Fluency (FAS)","41","26.13 (12.99)","20.39 (12)"
" WAIS-III Arithmetic","41","-","6.17 (2.32)"
" WCST Total Correct","41","18.76 (9.84)","21.78 (7.89)"
" WCST Total Errors","41","29.24 (9.84)","26.17 (7.84)"
" WCST Total Categories /6","41","2.47 (1.46)","2.57 (1.27)"
" WCST Perseverations","41","22.18 (10.55)","19.22 (7.17)"
" WCST Failure Maintain Set","41","0.41 (0.71)","0.85 (1.04)"
